access_path,benchmark,column,variant,predicate,average_seconds,source_values_count,notes
bitmap_index,tpch1,l_shipdate,high_selectivity,l_shipdate <= 1992-10-28,2.704,3,process-isolated average
zonemap,tpch1,l_shipdate,high_selectivity,l_shipdate <= 1992-10-28,1.082,3,process-isolated average
column_sketch,tpch1,l_shipdate,high_selectivity,l_shipdate <= 1992-10-28,1.070,3,process-isolated average
bitmap_index,tpch1,l_shipdate,medium_selectivity,l_shipdate <= 1995-06-17,2.653,3,process-isolated average
zonemap,tpch1,l_shipdate,medium_selectivity,l_shipdate <= 1995-06-17,1.525,3,process-isolated average
column_sketch,tpch1,l_shipdate,medium_selectivity,l_shipdate <= 1995-06-17,1.699,3,process-isolated average
bitmap_index,tpch1,l_shipdate,low_selectivity,l_shipdate <= 1998-02-04,2.617,3,process-isolated average
zonemap,tpch1,l_shipdate,low_selectivity,l_shipdate <= 1998-02-04,1.942,3,process-isolated average
column_sketch,tpch1,l_shipdate,low_selectivity,l_shipdate <= 1998-02-04,2.193,3,process-isolated average
bitmap_index,tpch6,l_quantity,high_selectivity,l_quantity < 10,0.309,3,process-isolated average
zonemap,tpch6,l_quantity,high_selectivity,l_quantity < 10,0.698,3,process-isolated average
column_sketch,tpch6,l_quantity,high_selectivity,l_quantity < 10,1.006,3,process-isolated average
bitmap_index,tpch6,l_quantity,medium_selectivity,l_quantity < 24,0.380,3,process-isolated average
zonemap,tpch6,l_quantity,medium_selectivity,l_quantity < 24,0.723,3,process-isolated average
column_sketch,tpch6,l_quantity,medium_selectivity,l_quantity < 24,0.922,3,process-isolated average
bitmap_index,tpch6,l_quantity,low_selectivity,l_quantity < 41,0.462,3,process-isolated average
zonemap,tpch6,l_quantity,low_selectivity,l_quantity < 41,0.728,3,process-isolated average
column_sketch,tpch6,l_quantity,low_selectivity,l_quantity < 41,1.014,3,process-isolated average
zonemap,tpch6,l_discount,high_selectivity,l_discount BETWEEN 0.01 AND 0.02,0.730,reported_average,reported aggregate timing
zonemap,tpch6,l_discount,medium_selectivity,l_discount BETWEEN 0.01 AND 0.06,0.734,reported_average,reported aggregate timing
zonemap,tpch6,l_discount,low_selectivity,l_discount BETWEEN 0.01 AND 0.09,0.736,reported_average,reported aggregate timing
bitmap_index,tpch6,l_discount,high_selectivity,l_discount BETWEEN 0.01 AND 0.02,0.364,reported_average,reported aggregate timing
bitmap_index,tpch6,l_discount,medium_selectivity,l_discount BETWEEN 0.01 AND 0.06,0.415,reported_average,reported aggregate timing
bitmap_index,tpch6,l_discount,low_selectivity,l_discount BETWEEN 0.01 AND 0.09,0.446,reported_average,reported aggregate timing
column_sketch,tpch6,l_discount,high_selectivity,l_discount BETWEEN 0.01 AND 0.02,0.962,reported_average,reported aggregate timing
column_sketch,tpch6,l_discount,medium_selectivity,l_discount BETWEEN 0.01 AND 0.06,0.973,reported_average,reported aggregate timing
column_sketch,tpch6,l_discount,low_selectivity,l_discount BETWEEN 0.01 AND 0.09,0.975,reported_average,reported aggregate timing
column_sketch,custom_q6,l_extendedprice,high_selectivity,l_extendedprice < 7887.68,0.560,reported_average,reported aggregate timing
zonemap,custom_q6,l_extendedprice,high_selectivity,l_extendedprice < 7887.68,1.106,reported_average,reported aggregate timing
column_sketch,custom_q6,l_extendedprice,medium_selectivity,l_extendedprice < 36715.00,0.600,reported_average,reported aggregate timing
zonemap,custom_q6,l_extendedprice,medium_selectivity,l_extendedprice < 36715.00,1.002,reported_average,reported aggregate timing
column_sketch,custom_q6,l_extendedprice,low_selectivity,l_extendedprice < 71002.68,0.604,reported_average,reported aggregate timing
zonemap,custom_q6,l_extendedprice,low_selectivity,l_extendedprice < 71002.68,0.966,reported_average,reported aggregate timing
